Code,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,propulsion_code,driver_imd_decile,driver_home_area_type
-1,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Missing/Out of range data,Undefined,Missing/Out of range data,Missing/Out of range data
0,,No tow/articulation,,Parked,Parked,On main c'way - not in restricted lane,Not at or within 20 metres of junction,None,None,Did not leave carriageway,None,Did not impact,,,,,,,
1,Pedal cycle,Articulated vehicle,Reversing,North,North,Tram/Light rail track,Approaching junction or waiting/parked at junction approach,Skidded,Previous accident,Nearside,Road sign or traffic signal,Front,No,Journey as part of work,Male,0 - 5,Petrol,Most deprived 10%,Urban area
2,Motorcycle 50cc and under,Double or multiple trailer,Parked,North East,North East,Bus lane,Cleared junction or waiting/parked at junction exit,Skidded and overturned,Road works,Nearside and rebounded,Lamp post,Back,Yes,Commuting to/from work,Female,6 - 10,Heavy oil,More deprived 10-20%,Small town
3,Motorcycle 125cc and under,Caravan,Waiting to go - held up,East,East,Busway (including guided busway),Leaving roundabout,Jackknifed,,Straight ahead at junction,Telegraph or electricity pole,Offside,,Taking pupil to/from school,Not known,11 - 15,Electric,More deprived 20-30%,Rural
4,Motorcycle over 125cc and up to 500cc,Single trailer,Slowing or stopping,South East,South East,Cycle lane (on main carriageway),Entering roundabout,Jackknifed and overturned,Parked vehicle,Offside on to central reservation,Tree,Nearside,,Pupil riding to/from school,,16 - 20,Steam,More deprived 30-40%,
5,Motorcycle over 500cc,Other tow,Moving off,South,South,Cycleway or shared use footway (not part of  main carriageway),Leaving main road,Overturned,Bridge (roof),Offside on to centrl res + rebounded,Bus stop or bus shelter,,,Other,,21 - 25,Gas,More deprived 40-50%,
6,,,U-turn,South West,South West,On lay-by or hard shoulder,Entering main road,,Bridge (side),Offside - crossed central reservation,Central crash barrier,,,Not known,,26 - 35,Petrol/Gas (LPG),Less deprived 40-50%,
7,,,Turning left,West,West,Entering lay-by or hard shoulder,Entering from slip road,,Bollard or refuge,Offside,Near/Offside crash barrier,,,,,36 - 45,Gas/Bi-fuel,Less deprived 30-40%,
8,Taxi/Private hire car,,Waiting to turn left,North West,North West,Leaving lay-by or hard shoulder,Mid Junction - on roundabout or on main road,,Open door of vehicle,Offside and rebounded,Submerged in water,,,,,46 - 55,Hybrid electric,Less deprived 20-30%,
9,Car,Unknown,Turning right,Unknown,Unknown,Footway (pavement),Unknown,Unknown,Central island of roundabout,Unknown,Entered ditch,Unknown,Unknown,,,56 - 65,Gas Diesel,Less deprived 10-20%,
10,Minibus (8 - 16 passenger seats),,Waiting to turn right,,,Not on carriageway,,,Kerb,,Other permanent object,,,,,66 - 75,New fuel technology,Least deprived 10%,
11,Bus or coach (17 or more pass seats),,Changing lane to left,,,,,,Other object,,Wall or fence,,,,,Over 75,Fuel cells,,
12,,,Changing lane to right,,,,,,Any animal (except ridden horse),,,,,,,,Electric diesel,,
13,,,Overtaking moving vehicle - offside,,,,,,,,,,,,,,,,
14,,,Overtaking static vehicle - offside,,,,,,,,,,,,,,,,
15,,,Overtaking - nearside,,,,,,,,,,,Other/Not known,,,,,
16,Ridden horse,,Going ahead left-hand bend,,,,,,,,,,,,,,,,
17,Agricultural vehicle,,Going ahead right-hand bend,,,,,,,,,,,,,,,,
18,Tram,,Going ahead other,,,,,,,,,,,,,,,,
19,Van / Goods 3.5 tonnes mgw or under,,,,,,,,,,,,,,,,,,
20,Goods over 3.5t. and under 7.5t,,,,,,,,,,,,,,,,,,
21,Goods 7.5 tonnes mgw and over,,,,,,,,,,,,,,,,,,
22,Mobility scooter,,,,,,,,,,,,,,,,,,
23,Electric motorcycle,,,,,,,,,,,,,,,,,,
90,Other vehicle,,,,,,,,,,,,,,,,,,
97,Motorcycle - unknown cc,,,,,,,,,,,,,,,,,,
98,Goods vehicle - unknown weight,,,,,,,,,,,,,,,,,,
99,Unknown vehicle type (self rep only),,Unknown,,,Unknown,,,Unknown,,Unknown,,,,,,,,
103,Motorcycle - Scooter (1979-1998),,,,,,,,,,,,,,,,,,
104,Motorcycle (1979-1998),,,,,,,,,,,,,,,,,,
105,Motorcycle - Combination (1979-1998),,,,,,,,,,,,,,,,,,
106,Motorcycle over 125cc (1999-2004),,,,,,,,,,,,,,,,,,
108,Taxi (excluding private hire cars) (1979-2004),,,,,,,,,,,,,,,,,,
109,Car (including private hire cars) (1979-2004),,,,,,,,,,,,,,,,,,
110,Minibus/Motor caravan (1979-1998),,,,,,,,,,,,,,,,,,
113,Goods over 3.5 tonnes (1979-1998),,,,,,,,,,,,,,,,,,
