accident_year,sex_of_driver,age_band_of_driver_dvla,number_of_drivers
2018,Female,0 - 16,307
2018,Female,17 - 20,3977
2018,Female,21 - 29,13114
2018,Female,30 - 39,13558
2018,Female,40 - 49,10962
2018,Female,50 - 59,9061
2018,Female,60 - 69,4392
2018,Female,70+,3841
2018,Male,0 - 16,2541
2018,Male,17 - 20,9724
2018,Male,21 - 29,27972
2018,Male,30 - 39,30248
2018,Male,40 - 49,24648
2018,Male,50 - 59,21568
2018,Male,60 - 69,10776
2018,Male,70+,8577
2019,Female,0 - 16,329
2019,Female,17 - 20,3668
2019,Female,21 - 29,12256
2019,Female,30 - 39,13065
2019,Female,40 - 49,10140
2019,Female,50 - 59,8699
2019,Female,60 - 69,4356
2019,Female,70+,3789
2019,Male,0 - 16,2540
2019,Male,17 - 20,9292
2019,Male,21 - 29,25931
2019,Male,30 - 39,28921
2019,Male,40 - 49,22809
2019,Male,50 - 59,20086
2019,Male,60 - 69,10210
2019,Male,70+,7878
2020,Female,0 - 16,321
2020,Female,17 - 20,2740
2020,Female,21 - 29,9180
2020,Female,30 - 39,9361
2020,Female,40 - 49,7237
2020,Female,50 - 59,6288
2020,Female,60 - 69,2874
2020,Female,70+,2387
2020,Male,0 - 16,2194
2020,Male,17 - 20,7407
2020,Male,21 - 29,21442
2020,Male,30 - 39,23296
2020,Male,40 - 49,17497
2020,Male,50 - 59,15453
2020,Male,60 - 69,8089
2020,Male,70+,5732
2021,Female,0 - 16,372
2021,Female,17 - 20,2652
2021,Female,21 - 29,9995
2021,Female,30 - 39,10832
2021,Female,40 - 49,8259
2021,Female,50 - 59,6917
2021,Female,60 - 69,3474
2021,Female,70+,2816
2021,Male,0 - 16,2304
2021,Male,17 - 20,8443
2021,Male,21 - 29,23070
2021,Male,30 - 39,25563
2021,Male,40 - 49,19110
2021,Male,50 - 59,17214
2021,Male,60 - 69,9106
2021,Male,70+,6545
2022,Female,0 - 16,343
2022,Female,17 - 20,2947
2022,Female,21 - 29,9665
2022,Female,30 - 39,11308
2022,Female,40 - 49,8882
2022,Female,50 - 59,7384
2022,Female,60 - 69,3864
2022,Female,70+,3310
2022,Male,0 - 16,2227
2022,Male,17 - 20,8927
2022,Male,21 - 29,22738
2022,Male,30 - 39,25227
2022,Male,40 - 49,19455
2022,Male,50 - 59,17505
2022,Male,60 - 69,9811
2022,Male,70+,7316
